City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Rikitea,PF,2019-12-29 16:29:21,-23.12,-134.97,75.65,80,100,11.48,overcast clouds,0,0
1,Conakry,GN,2019-12-29 16:29:21,9.52,-13.7,87.8,62,0,11.41,haze,0,0
2,Mindelo,PT,2019-12-29 16:29:22,41.31,-8.72,63.0,55,0,0.96,clear sky,0,0
3,Comodoro Rivadavia,AR,2019-12-29 16:27:03,-45.87,-67.48,71.6,43,14,9.17,few clouds,0,0
4,Navahrudak,BY,2019-12-29 16:29:22,53.59,25.82,25.03,82,19,3.85,few clouds,0,0
5,Husavik,CA,2019-12-29 16:29:22,50.56,-96.99,12.0,92,100,5.99,overcast clouds,0,0
6,Busselton,AU,2019-12-29 16:29:22,-33.64,115.35,57.0,54,6,13.89,clear sky,0,0
7,Tasiilaq,GL,2019-12-29 16:29:23,65.61,-37.64,23.0,67,2,6.24,clear sky,0,0
8,Tuatapere,NZ,2019-12-29 16:29:23,-46.13,167.69,53.01,84,100,13.0,overcast clouds,0,0
9,Lagoa,PT,2019-12-29 16:26:24,37.14,-8.45,64.0,67,0,12.75,clear sky,0,0
10,Herat,AF,2019-12-29 16:29:23,34.35,62.22,42.8,56,86,3.36,overcast clouds,0,0
11,Ushuaia,AR,2019-12-29 16:29:23,-54.81,-68.31,51.8,53,40,32.21,scattered clouds,0,0
12,La Ronge,CA,2019-12-29 16:29:24,55.1,-105.3,3.2,84,40,8.05,scattered clouds,0,0
13,Mataura,NZ,2019-12-29 16:29:24,-46.19,168.86,53.01,84,84,13.0,broken clouds,0,0
14,Rawson,AR,2019-12-29 16:29:24,-43.3,-65.11,66.96,57,5,8.05,clear sky,0,0
15,Kiboga,UG,2019-12-29 16:29:24,0.92,31.77,79.56,51,0,3.89,clear sky,0,0
16,Punta Arenas,CL,2019-12-29 16:28:47,-53.16,-70.91,60.8,36,77,20.8,broken clouds,0,0
17,Konstantinovka,UA,2019-12-29 16:29:25,46.85,29.85,36.37,86,100,11.77,light snow,0,0.19
18,Albany,US,2019-12-29 16:28:28,42.65,-73.75,39.0,69,75,2.13,broken clouds,0,0
19,Narsaq,GL,2019-12-29 16:29:25,60.91,-46.05,26.6,86,75,2.24,broken clouds,0,0
20,Lavrentiya,RU,2019-12-29 16:29:26,65.58,-170.99,-6.36,86,0,8.12,clear sky,0,0
21,Pevek,RU,2019-12-29 16:29:26,69.7,170.27,-13.02,97,100,13.06,light snow,0,0.19
22,Ancud,CL,2019-12-29 16:29:26,-41.87,-73.83,66.2,42,2,6.93,clear sky,0,0
23,Provideniya,RU,2019-12-29 16:27:59,64.42,-173.23,-2.36,74,0,12.5,clear sky,0,0
24,Saint-Georges,CA,2019-12-29 16:28:38,46.12,-70.67,27.0,68,89,5.01,overcast clouds,0,0
25,Kasongo-Lunda,CD,2019-12-29 16:29:27,-6.48,16.82,76.08,72,100,0.94,overcast clouds,0,0
26,Scalea,IT,2019-12-29 16:29:27,39.82,15.79,45.0,58,94,7.0,light snow,0,0.25
27,Vao,EE,2019-12-29 16:29:27,59.1,26.19,32.23,91,100,14.94,overcast clouds,0,0
28,Oudtshoorn,ZA,2019-12-29 16:29:27,-33.59,22.2,66.2,93,90,11.41,overcast clouds,0,0
29,Cabo San Lucas,MX,2019-12-29 16:25:06,22.89,-109.91,66.99,59,5,3.36,clear sky,0,0
30,Hithadhoo,MV,2019-12-29 16:29:28,-0.6,73.08,83.23,75,100,9.55,overcast clouds,0,0
31,Saint-Philippe,CA,2019-12-29 16:29:28,45.36,-73.48,34.0,62,90,5.82,overcast clouds,0,0
32,Hobart,AU,2019-12-29 16:25:45,-42.88,147.33,61.0,87,90,4.7,overcast clouds,0,0
33,Saint George,GR,2019-12-29 16:29:28,39.45,22.34,42.8,52,75,6.93,broken clouds,0,0
34,Carnarvon,ZA,2019-12-29 16:29:29,-30.97,22.13,85.98,20,58,17.81,broken clouds,0,0
35,Vaini,IN,2019-12-29 16:29:29,15.34,74.49,69.28,75,13,3.11,light rain,0.25,0
36,Castro,CL,2019-12-29 16:29:29,-42.48,-73.76,66.2,42,1,6.93,clear sky,0,0
37,San Carlos,NI,2019-12-29 16:29:29,11.12,-84.78,75.0,31,96,6.08,light rain,0.5,0
38,Kaitangata,NZ,2019-12-29 16:29:30,-46.28,169.85,55.99,74,100,7.0,overcast clouds,0,0
39,Chicama,PE,2019-12-29 16:29:30,-7.84,-79.15,69.8,88,75,10.29,broken clouds,0,0
40,Daru,PG,2019-12-29 16:29:30,-9.07,143.21,75.85,92,88,2.64,overcast clouds,0,0
41,Longyearbyen,NO,2019-12-29 16:26:25,78.22,15.63,15.8,56,40,11.41,scattered clouds,0,0
42,Bukachacha,RU,2019-12-29 16:29:31,52.99,116.91,-24.21,93,0,3.69,clear sky,0,0
43,Watrous,CA,2019-12-29 16:29:32,51.67,-105.46,7.97,91,0,1.12,clear sky,0,0
44,Jamestown,AU,2019-12-29 16:26:25,-33.21,138.6,82.54,32,90,12.08,light rain,0.94,0
45,Bambous Virieux,MU,2019-12-29 16:29:32,-20.34,57.76,77.0,94,75,11.41,light intensity shower rain,0,0
46,Mezen,RU,2019-12-29 16:29:32,65.85,44.24,21.38,68,100,20.76,overcast clouds,0,0
47,Port Alfred,ZA,2019-12-29 16:29:33,-33.59,26.89,70.0,93,7,18.32,light rain,0.31,0
48,Bredasdorp,ZA,2019-12-29 16:29:33,-34.53,20.04,73.99,60,86,14.99,overcast clouds,0,0
49,Dikson,RU,2019-12-29 16:29:33,73.51,80.55,-9.33,94,100,27.22,light snow,0,0.13
50,Huambo,AO,2019-12-29 16:29:33,-12.78,15.73,69.8,83,75,5.82,moderate rain,0,0
51,Tiksi,RU,2019-12-29 16:27:59,71.64,128.87,-20.2,83,100,12.93,overcast clouds,0,0
52,Ust-Nera,RU,2019-12-29 16:29:34,64.57,143.24,-36.33,100,92,2.75,overcast clouds,0,0
53,Qaanaaq,GL,2019-12-29 16:27:57,77.48,-69.36,2.75,90,100,9.06,light snow,0,0.25
54,Hermanus,ZA,2019-12-29 16:29:34,-34.42,19.24,78.01,62,0,13.0,clear sky,0,0
55,Winneba,GH,2019-12-29 16:29:34,5.35,-0.62,87.8,66,5,9.17,clear sky,0,0
56,Yellowknife,CA,2019-12-29 16:25:11,62.45,-114.38,-13.0,83,75,12.75,light snow,0,0
57,Yulara,AU,2019-12-29 16:29:35,-25.24,130.99,82.4,51,96,6.93,overcast clouds,0,0
58,Khorramabad,IR,2019-12-29 16:29:35,33.48,48.35,40.66,61,0,1.05,clear sky,0,0
59,San Policarpo,PH,2019-12-29 16:29:35,12.18,125.51,81.05,77,0,10.85,clear sky,0,0
60,Tuktoyaktuk,CA,2019-12-29 16:29:36,69.44,-133.03,-23.8,74,75,12.75,broken clouds,0,0
61,Middelburg,NL,2019-12-29 16:29:36,51.5,3.61,42.01,75,100,10.29,overcast clouds,0,0
62,Cape Town,ZA,2019-12-29 16:29:36,-33.93,18.42,78.01,53,0,17.22,clear sky,0,0
63,Kloulklubed,PW,2019-12-29 16:29:37,7.04,134.26,80.6,78,75,11.41,broken clouds,0,0
64,Zinder,NE,2019-12-29 16:29:37,13.81,8.99,82.4,12,0,9.17,clear sky,0,0
65,Baykit,RU,2019-12-29 16:29:37,61.68,96.39,-13.47,98,100,3.65,light snow,0,0.13
66,Port Elizabeth,US,2019-12-29 16:29:38,39.31,-74.98,51.01,70,75,8.05,broken clouds,0,0
67,Dingle,PH,2019-12-29 16:29:38,11.0,122.67,72.43,77,0,9.22,clear sky,0,0
68,Catemaco,MX,2019-12-29 16:29:38,18.42,-95.11,80.6,69,90,11.41,overcast clouds,0,0
69,Esperance,AU,2019-12-29 16:29:38,-33.86,121.89,64.4,72,90,17.22,overcast clouds,0,0
70,Santa Cruz Del Sur,CU,2019-12-29 16:29:39,20.71,-78.0,77.67,84,2,17.54,clear sky,0,0
71,Hilo,US,2019-12-29 16:29:39,19.71,-155.08,71.6,83,90,6.93,overcast clouds,0,0
