City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.65,overcast clouds,-23.12,-134.97,Pension Maro'i
1,Conakry,GN,87.8,haze,9.52,-13.7,Golden Plazza
2,Mindelo,PT,63.0,clear sky,41.31,-8.72,Santana Hotel & Spa
3,Comodoro Rivadavia,AR,71.6,few clouds,-45.87,-67.48,Austral Hotel
4,Navahrudak,BY,25.03,few clouds,53.59,25.82,Guest House in Novogrudok
5,Husavik,CA,12.0,overcast clouds,50.56,-96.99,Idle Wheels RV Park
6,Busselton,AU,57.0,clear sky,-33.64,115.35,Observatory Guest House
7,Tasiilaq,GL,23.0,clear sky,65.61,-37.64,The Red House
8,Tuatapere,NZ,53.01,overcast clouds,-46.13,167.69,Ron and Tony's Bed & Breakfast
9,Lagoa,PT,64.0,clear sky,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
10,Herat,AF,42.8,overcast clouds,34.35,62.22,Nazary 4 Star Hotel
11,Ushuaia,AR,51.8,scattered clouds,-54.81,-68.31,Albatros Hotel
12,La Ronge,CA,3.2,scattered clouds,55.1,-105.3,Northland Motor Hotel
13,Mataura,NZ,53.01,broken clouds,-46.19,168.86,Ellie's Villa
14,Rawson,AR,66.96,clear sky,-43.3,-65.11,Hospedaje Sampedro
15,Kiboga,UG,79.56,clear sky,0.92,31.77,Marie Lustenberger Guest House
16,Punta Arenas,CL,60.8,broken clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
17,Konstantinovka,UA,36.37,light snow,46.85,29.85,
18,Albany,US,39.0,broken clouds,42.65,-73.75,Hilton Albany
19,Narsaq,GL,26.6,broken clouds,60.91,-46.05,Hotel Narsaq
22,Ancud,CL,66.2,clear sky,-41.87,-73.83,HOTEL ANCUD DON LUCAS
24,Saint-Georges,CA,27.0,overcast clouds,46.12,-70.67,"Le Georgesville, centre de congrès et hôtel"
25,Kasongo-Lunda,CD,76.08,overcast clouds,-6.48,16.82,
26,Scalea,IT,45.0,light snow,39.82,15.79,Grand Hotel de Rose
27,Vao,EE,32.23,overcast clouds,59.1,26.19,
28,Oudtshoorn,ZA,66.2,overcast clouds,-33.59,22.2,Earthbound Guest House
29,Cabo San Lucas,MX,66.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
30,Hithadhoo,MV,83.23,overcast clouds,-0.6,73.08,Scoop Guest House
31,Saint-Philippe,CA,34.0,overcast clouds,45.36,-73.48,Camping St-Andre
32,Hobart,AU,61.0,overcast clouds,-42.88,147.33,St Ives Apartments
33,Saint George,GR,42.8,broken clouds,39.45,22.34,MX PARK KYPARISSOS
34,Carnarvon,ZA,85.98,broken clouds,-30.97,22.13,Maritza Bed & Breakfast
35,Vaini,IN,69.28,light rain,15.34,74.49,Dandeli Lake County
36,Castro,CL,66.2,clear sky,-42.48,-73.76,Hotel Esmeralda
37,San Carlos,NI,75.0,light rain,11.12,-84.78,Hotel y Restaurante Ocaso
38,Kaitangata,NZ,55.99,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
39,Chicama,PE,69.8,broken clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
40,Daru,PG,75.85,overcast clouds,-9.07,143.21,Daru hotel
41,Longyearbyen,NO,15.8,scattered clouds,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
43,Watrous,CA,7.97,clear sky,51.67,-105.46,Manitou Hotel
44,Jamestown,AU,82.54,light rain,-33.21,138.6,Jamestown Motel Terraces
45,Bambous Virieux,MU,77.0,light intensity shower rain,-20.34,57.76,Casa Tia Villa
46,Mezen,RU,21.38,overcast clouds,65.85,44.24,
47,Port Alfred,ZA,70.0,light rain,-33.59,26.89,The Halyards Hotel
48,Bredasdorp,ZA,73.99,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
50,Huambo,AO,69.8,moderate rain,-12.78,15.73,SiSHotel
53,Qaanaaq,GL,2.75,light snow,77.48,-69.36,Qaanaaq Hotel
54,Hermanus,ZA,78.01,clear sky,-34.42,19.24,Misty Waves Boutique Hotel
55,Winneba,GH,87.8,clear sky,5.35,-0.62,Windy Lodge Beach Resort
57,Yulara,AU,82.4,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
58,Khorramabad,IR,40.66,clear sky,33.48,48.35,Saliz Hotel
59,San Policarpo,PH,81.05,clear sky,12.18,125.51,Zal-Ann Beach Resort
61,Middelburg,NL,42.01,overcast clouds,51.5,3.61,Amadore Hotel Restaurant Arneville
62,Cape Town,ZA,78.01,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
63,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
64,Zinder,NE,82.4,clear sky,13.81,8.99,hôtel central
66,Port Elizabeth,US,51.01,broken clouds,39.31,-74.98,HAMMER RUN
67,Dingle,PH,72.43,clear sky,11.0,122.67,Camp Pasica
68,Catemaco,MX,80.6,overcast clouds,18.42,-95.11,Hotel Playa Cristal
69,Esperance,AU,64.4,overcast clouds,-33.86,121.89,Hospitality Esperance
70,Santa Cruz Del Sur,CU,77.67,clear sky,20.71,-78.0,
71,Hilo,US,71.6,overcast clouds,19.71,-155.08,Hilo Seaside Hotel
72,Taoudenni,ML,83.52,clear sky,22.68,-3.98,
75,Namibe,AO,73.26,light rain,-15.19,12.15,Chik-Chik Namibe
76,Kulhudhuffushi,MV,81.66,scattered clouds,6.62,73.07,Haajy Guest House 1
77,Upernavik,GL,10.17,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
78,Coihaique,CL,66.2,overcast clouds,-45.58,-72.07,Diego De Almagro Coyhaique
79,Broken Hill,AU,87.8,few clouds,-31.97,141.45,Royal Exchange Hotel
80,Kropotkin,RU,44.01,overcast clouds,45.43,40.58,Hotel Europe Kropotkin
81,Arraial Do Cabo,BR,87.8,overcast clouds,-22.97,-42.02,Pousada Porto Praia
82,Atuona,PF,80.64,light rain,-9.8,-139.03,Villa Enata
83,Boa Vista,BR,87.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
84,Bluff,AU,71.71,few clouds,-23.58,149.07,Bluff Hotel
85,Mount Isa,AU,82.4,clear sky,-20.73,139.49,ibis Styles Mt Isa Verona
86,Tateyama,JP,42.01,overcast clouds,36.66,137.31,
87,Sturgeon Bay,US,46.0,light rain,44.83,-87.38,"AmericInn by Wyndham, Sturgeon Bay"
88,Kruisfontein,ZA,72.59,broken clouds,-34.0,24.73,Oyster Bay House Rental
89,Katsuura,JP,48.99,light intensity shower rain,33.93,134.5,喜楽の湯
90,Quang Ngai,VN,74.53,overcast clouds,15.12,108.8,Central Hotel
91,Butaritari,KI,83.05,clear sky,3.07,172.79,Isles Sunset Lodge
92,Sankt Johann Im Pongau,AT,30.0,few clouds,47.35,13.2,Sonnhof Alpendorf
93,Denpasar,ID,84.2,few clouds,-8.65,115.22,Aston Denpasar Hotel & Convention Center
94,Kapaa,US,71.6,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
95,Katobu,ID,75.34,overcast clouds,-4.94,122.53,La Ode Gombe
96,Barrow,AR,79.95,broken clouds,-38.31,-60.23,
97,Mount Pleasant,US,55.4,light rain,33.16,-94.97,Holiday Inn Express & Suites Mount Pleasant
99,Aviles,ES,61.0,clear sky,43.55,-5.92,Hotel NH Collection Palacio de Avilés
100,Mackay,CA,15.8,few clouds,53.65,-115.58,Nojack Provincial Recreation Area
103,Mahebourg,MU,77.0,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
104,Kodiak,US,41.0,overcast clouds,39.95,-94.76,
106,Takoradi,GH,84.52,scattered clouds,4.89,-1.75,Raybow International Hotel
108,Mar Del Plata,AR,73.4,clear sky,-46.43,-67.52,Hotel Costanera Del Sur
109,Isangel,VU,69.8,light rain,-19.55,169.27,Volcano Sea View Tree House
110,Nanortalik,GL,30.2,overcast clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
111,Pisco,PE,73.0,mist,-13.71,-76.2,Hostal San Isidro Oficial
112,Beloha,MG,86.72,clear sky,-25.17,45.06,
113,Banda Aceh,ID,75.0,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
114,Fallon,US,19.99,overcast clouds,46.84,-105.12,
116,Ales,FR,50.0,overcast clouds,44.13,4.08,ibis Ales Centre-Ville
117,Coquimbo,CL,66.2,scattered clouds,-29.95,-71.34,Hotel San Juan
119,Saldanha,PT,55.89,clear sky,41.42,-6.55,
120,Ahuimanu,US,77.0,overcast clouds,21.44,-157.84,Paradise Bay Resort
121,Tautira,PF,77.0,broken clouds,-17.73,-149.15,Pension Oaoa
125,Torbay,CA,33.01,light rain,47.66,-52.73,See The Sea
126,Clyde River,CA,17.6,overcast clouds,70.47,-68.59,Qamaq Hotel
127,Beni Mazar,EG,59.07,clear sky,28.5,30.8,ستوديو خالد عبد العاطي كفافي
128,Kamenka,MD,30.0,light snow,48.03,28.7,Vila Dora
129,Waiouru,NZ,51.04,overcast clouds,-39.48,175.67,Tāwhiri
130,Zhob,PK,45.9,clear sky,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
131,Lebu,ET,60.8,scattered clouds,8.96,38.73,Dah-Lak Guest House
132,Prattville,US,70.0,light rain,32.46,-86.46,InTown Suites Extended Stay Prattville AL
133,Cayenne,GF,87.8,scattered clouds,4.94,-52.33,Hôtel Le Dronmi
134,Sibolga,ID,72.57,light rain,1.74,98.78,Hotel Syariah CN Darussalam
135,Flinders,AU,70.0,overcast clouds,-34.58,150.85,Shellharbour Resort & Conference Centre
136,Ribeira Grande,PT,62.6,few clouds,38.52,-28.7,Quinta da Meia Eira
137,Lima,PE,75.2,scattered clouds,-12.06,-77.04,Meliá Lima
138,Horconcitos,PA,78.51,scattered clouds,8.47,-81.8,KAFETE S.A
139,Ahipara,NZ,53.01,clear sky,-35.17,173.16,Ahipara Holiday Park
140,Villa Maria,CO,87.8,scattered clouds,4.5,-74.09,"Rumbo al llano ""www.musicallanera.co"""
141,Pankovka,RU,24.8,few clouds,58.5,31.2,Tri Kota
142,Ostrovnoy,RU,28.22,light snow,68.05,39.51,
143,Xuddur,SO,87.73,overcast clouds,4.12,43.89,Banjanay Hotel
144,Barmer,IN,62.8,clear sky,25.74,71.4,Jain Dharamshala
145,Vana-Vigala,EE,39.0,light rain,58.78,24.25,"Hostel ""Hirvepark"""
146,Lyubech,UA,28.94,overcast clouds,51.7,30.66,
147,Duminichi,RU,24.46,overcast clouds,53.93,35.11,"Gostinitsa Ooo ""Td ""Khot'kovo"""
148,Okhotsk,RU,7.57,overcast clouds,59.36,143.24,Gostinitsa V Okhotske
150,Zonguldak,TR,32.92,light snow,41.25,31.83,Süleyman Tez Ev
151,Viedma,AR,87.84,clear sky,-40.81,-62.99,Hotel casa crespo
152,Abeche,TD,89.6,scattered clouds,13.83,20.83,Assaleh Hamdan Haroune
153,Pitkyaranta,RU,32.34,light snow,61.57,31.48,Pitkyaranta hotel
154,Sorland,NO,44.6,moderate rain,67.67,12.69,Sjybrygga fiskecamp
157,Walvis Bay,,73.4,scattered clouds,-22.95,14.51,Oyster Box Guesthouse
158,Luganville,VU,78.8,clear sky,-15.51,167.18,The Espiritu Hotel
159,Airai,TL,68.07,overcast clouds,-8.93,125.41,Juvinal Martin
160,Paso De Los Toros,UY,87.8,few clouds,-32.81,-56.52,Complejo Isabelino
