City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiksi,RU,2019-12-29 05:45:25,71.64,128.87,-27.4,85,100,8.79
1,New Norfolk,AU,2019-12-29 05:45:56,-42.78,147.06,79.0,53,40,21.92
2,Guerrero Negro,MX,2019-12-29 05:46:05,27.97,-114.04,56.16,65,0,6.46
3,Barrow,AR,2019-12-29 05:49:14,-38.31,-60.23,65.03,89,100,6.35
4,Busselton,AU,2019-12-29 05:45:46,-33.64,115.35,81.0,32,100,20.24
5,Ponta Do Sol,BR,2019-12-29 05:45:50,-20.63,-46.0,63.64,94,27,3.31
6,Fairbanks,US,2019-12-29 05:45:51,64.84,-147.72,-9.4,76,90,4.7
7,Kavieng,PG,2019-12-29 05:46:01,-2.57,150.8,83.21,76,98,11.14
8,Mahebourg,MU,2019-12-29 05:49:16,-20.41,57.7,81.0,88,75,16.11
9,Filadelfia,PY,2019-12-29 05:49:16,-22.35,-60.04,82.15,58,16,10.74
10,Punta Arenas,CL,2019-12-29 05:49:16,-53.16,-70.91,50.0,61,20,34.45
11,Alexandria,RO,2019-12-29 05:49:19,43.97,25.33,33.01,77,98,1.01
12,Kaitangata,NZ,2019-12-29 05:45:47,-46.28,169.85,61.0,79,100,4.0
13,Rikitea,PF,2019-12-29 05:49:20,-23.12,-134.97,76.14,82,100,9.71
14,Conakry,GN,2019-12-29 05:44:36,9.52,-13.7,78.8,78,0,6.93
15,Qaanaaq,GL,2019-12-29 05:45:51,77.48,-69.36,0.7,52,33,10.65
16,Pillaro,EC,2019-12-29 05:49:20,-1.17,-78.53,50.0,100,75,3.36
17,Bethel,US,2019-12-29 05:45:59,60.79,-161.76,-13.0,68,90,16.11
18,Vao,EE,2019-12-29 05:49:21,59.1,26.19,22.35,83,50,6.38
19,Tecoanapa,MX,2019-12-29 05:49:21,16.99,-99.26,80.6,83,20,5.82
20,Ahlat,TR,2019-12-29 05:49:21,38.75,42.49,28.62,79,49,5.88
21,Pskov,RU,2019-12-29 05:49:22,57.82,28.33,28.4,74,90,4.47
22,Nisia Floresta,BR,2019-12-29 05:49:22,-6.09,-35.21,77.0,83,40,6.93
23,Puerto Ayora,EC,2019-12-29 05:45:59,-0.74,-90.35,72.0,90,94,1.01
24,Vaini,IN,2019-12-29 05:45:22,15.34,74.49,77.0,65,20,6.93
25,Trairi,BR,2019-12-29 05:49:23,-3.28,-39.27,75.24,89,82,4.25
26,Hualmay,PE,2019-12-29 05:49:23,-11.1,-77.61,66.07,86,48,3.44
27,Cazones,MX,2019-12-29 05:49:23,20.72,-97.32,66.83,92,100,0.94
28,Mataura,NZ,2019-12-29 05:49:24,-46.19,168.86,63.0,80,100,11.99
29,Kloulklubed,PW,2019-12-29 05:49:24,7.04,134.26,84.2,70,75,11.41
30,Thompson,CA,2019-12-29 05:42:01,55.74,-97.86,3.2,84,90,2.24
31,Svetlogorsk,RU,2019-12-29 05:49:24,53.14,59.15,12.2,85,90,13.42
32,Port Shepstone,ZA,2019-12-29 05:49:24,-30.74,30.45,69.49,84,44,5.48
33,Upernavik,GL,2019-12-29 05:45:55,72.79,-56.15,6.46,59,28,3.24
34,Roma,IT,2019-12-29 05:49:25,41.89,12.48,41.0,51,0,6.93
35,Castro,CL,2019-12-29 05:45:45,-42.48,-73.76,48.2,93,4,6.93
36,Cabedelo,BR,2019-12-29 05:49:25,-6.97,-34.84,75.2,88,40,3.36
37,Ilulissat,GL,2019-12-29 05:49:25,69.22,-51.1,5.0,65,75,1.14
38,Montelibano,CO,2019-12-29 05:49:26,7.98,-75.42,76.26,92,100,4.63
39,Panguna,PG,2019-12-29 05:49:26,-6.32,155.48,79.83,64,9,5.17
40,Tilichiki,RU,2019-12-29 05:49:26,60.47,166.1,-15.47,72,0,7.52
41,Ignatovka,RU,2019-12-29 05:49:26,53.95,47.65,17.01,94,100,7.96
42,Kapaa,US,2019-12-29 05:45:24,22.08,-159.32,77.0,88,40,5.82
43,Kununurra,AU,2019-12-29 05:49:27,-15.77,128.74,100.4,37,47,9.17
44,Cidreira,BR,2019-12-29 05:49:27,-30.17,-50.22,74.39,90,13,25.08
45,Hithadhoo,MV,2019-12-29 05:46:02,-0.6,73.08,82.45,76,100,9.73
46,Kodiak,US,2019-12-29 05:49:27,39.95,-94.76,52.0,93,90,8.05
47,Luderitz,NA,2019-12-29 05:45:53,-26.65,15.16,62.6,77,56,18.34
48,Muroto,JP,2019-12-29 05:49:28,33.37,134.14,53.6,66,75,4.7
49,Sao Filipe,CV,2019-12-29 05:46:07,14.9,-24.5,70.48,69,45,12.17
50,Bluff,AU,2019-12-29 05:45:43,-23.58,149.07,91.17,25,38,13.38
51,Ushuaia,AR,2019-12-29 05:45:05,-54.81,-68.31,53.6,37,40,14.99
